aco_flight_number,plot_datetime,user_name,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,plot_features,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g_drop,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm_drop,density_drop,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SE,5.0,,O,Depth,56.0,5/10/2024 10:34,56.0,,,,56.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SE,2.5,,E,Depth,43.0,5/10/2024 10:34,43.0,,,,43.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NW,10.0,,O,Depth,116.0,5/10/2024 10:37,116.0,,,,116.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NW,7.5,,E,Depth,98.0,5/10/2024 10:37,98.0,,,,98.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NW,5.0,,U,Depth,135.0,5/10/2024 10:37,135.0,,,,135.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NW,2.5,,O,Depth,131.0,5/10/2024 10:37,131.0,,,,131.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,10.0,,O,Depth,206.0,5/10/2024 9:15,206.0,,,,206.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,7.5,,O,Depth,212.0,5/10/2024 9:15,212.0,,,,212.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,5.0,,O,Depth,207.0,5/10/2024 9:15,207.0,,,,207.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,2.5,,O,Depth,166.0,5/10/2024 9:15,166.0,,,,166.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
